index,name,imdbUrl,screentime,episodes,portrayedBy
61,Jojen Reed,http://www.imdb.com/character/ch0316921/,19.0,10,"{'name': 'Thomas Brodie-Sangster', 'imdbUrl': 'http://www.imdb.com/name/nm1032473/'}"
62,Maester Aemon,http://www.imdb.com/character/ch0246936/,19.0,11,"{'name': 'Peter Vaughan', 'imdbUrl': 'http://www.imdb.com/name/nm0891092/'}"
63,Ellaria Sand,http://www.imdb.com/character/ch0309687/,18.3,11,"{'name': 'Indira Varma', 'imdbUrl': 'http://www.imdb.com/name/nm0890055/'}"
64,Lancel Lannister,http://www.imdb.com/character/ch0376927/,18.3,17,"{'name': 'Eugene Simon', 'imdbUrl': 'http://www.imdb.com/name/nm1638294/'}"
65,Shireen Baratheon,http://www.imdb.com/character/ch0306346/,18.15,10,"{'name': 'Kerry Ingram', 'imdbUrl': 'http://www.imdb.com/name/nm5081192/'}"
66,Edmure Tully,http://www.imdb.com/character/ch0316931/,17.45,8,"{'name': 'Tobias Menzies', 'imdbUrl': 'http://www.imdb.com/name/nm0580014/'}"
67,Gregor Clegane,http://www.imdb.com/character/ch0245401/,17.15,14,"{'name': 'Conan Stevens', 'imdbUrl': 'http://www.imdb.com/name/nm1947403/'}"
68,Lysa Arryn,http://www.imdb.com/character/ch0251736/,16.3,5,"{'name': 'Kate Dickie', 'imdbUrl': 'http://www.imdb.com/name/nm0225483/'}"
69,Meryn Trant,http://www.imdb.com/character/ch0246933/,16.0,18,"{'name': 'Ian Beattie', 'imdbUrl': 'http://www.imdb.com/name/nm0064155/'}"
70,Brynden 'Blackfish' Tully,http://www.imdb.com/character/ch0381563/,16.0,7,"{'name': 'Clive Russell', 'imdbUrl': 'http://www.imdb.com/name/nm0751085/'}"
71,Walder Frey,http://www.imdb.com/character/ch0305328/,15.45,5,"{'name': 'David Bradley', 'imdbUrl': 'http://www.imdb.com/name/nm0103195/'}"
72,Thoros of Myr,http://www.imdb.com/character/ch0316927/,15.0,7,"{'name': 'Paul Kaye', 'imdbUrl': 'http://www.imdb.com/name/nm0443373/'}"
73,Janos Slynt,http://www.imdb.com/character/ch0300651/,14.15,15,"{'name': 'Dominic Carter', 'imdbUrl': 'http://www.imdb.com/name/nm0141582/'}"
74,Locke,http://www.imdb.com/character/ch0045904/,13.0,8,"{'name': 'Noah Taylor', 'imdbUrl': 'http://www.imdb.com/name/nm0852965/'}"
75,Myranda,http://www.imdb.com/character/ch0316926/,13.0,8,"{'name': 'Charlotte Hope', 'imdbUrl': 'http://www.imdb.com/name/nm3745225/'}"
76,Rickon Stark,http://www.imdb.com/character/ch0233141/,12.45,14,"{'name': 'Art Parkinson', 'imdbUrl': 'http://www.imdb.com/name/nm3280686/'}"
77,Rodrik Cassel,http://www.imdb.com/character/ch0171391/,12.45,15,"{'name': 'Ron Donachie', 'imdbUrl': 'http://www.imdb.com/name/nm0231871/'}"
78,Waif,http://www.imdb.com/character/ch0508054/,12.45,11,"{'name': 'Faye Marsay', 'imdbUrl': 'http://www.imdb.com/name/nm3849670/'}"
79,Hot Pie,http://www.imdb.com/character/ch0273432/,12.45,10,"{'name': 'Ben Hawkey', 'imdbUrl': 'http://www.imdb.com/name/nm3444954/'}"
80,Rast,http://www.imdb.com/character/ch0251498/,12.45,12,"{'name': 'Luke Barnes', 'imdbUrl': 'http://www.imdb.com/name/nm4430828/'}"
81,Septa Unella,http://www.imdb.com/character/ch0512215/,12.3,8,"{'name': 'Hannah Waddingham', 'imdbUrl': 'http://www.imdb.com/name/nm1821446/'}"
82,Olly,http://www.imdb.com/character/ch0508055/,12.3,17,"{'name': ""Brenock O'Connor"", 'imdbUrl': 'http://www.imdb.com/name/nm5282143/'}"
83,Doreah,http://www.imdb.com/character/ch0248504/,12.3,11,"{'name': 'Roxanne McKee', 'imdbUrl': 'http://www.imdb.com/name/nm1861467/'}"
84,Balon Greyjoy,http://www.imdb.com/character/ch0292152/,12.15,4,"{'name': 'Patrick Malahide', 'imdbUrl': 'http://www.imdb.com/name/nm0538869/'}"
85,Benjen Stark,http://www.imdb.com/character/ch0153996/,12.0,7,"{'name': 'Joseph Mawle', 'imdbUrl': 'http://www.imdb.com/name/nm1152798/'}"
86,Pypar,http://www.imdb.com/character/ch0273477/,12.0,13,"{'name': 'Josef Altin', 'imdbUrl': 'http://www.imdb.com/name/nm1086981/'}"
87,Yoren,http://www.imdb.com/character/ch0251493/,12.0,7,"{'name': 'Francis Magee', 'imdbUrl': 'http://www.imdb.com/name/nm0535837/'}"
88,Myrcella Baratheon,http://www.imdb.com/character/ch0238585/,11.45,12,"{'name': 'Aimee Richardson', 'imdbUrl': 'http://www.imdb.com/name/nm4048461/'}"
89,Hizdahr zo Loraq,http://www.imdb.com/character/ch0414458/,11.45,8,"{'name': 'Joel Fry', 'imdbUrl': 'http://www.imdb.com/name/nm2181128/'}"
90,Mace Tyrell,http://www.imdb.com/character/ch0384328/,11.3,13,"{'name': 'Roger Ashton-Griffiths', 'imdbUrl': 'http://www.imdb.com/name/nm0004355/'}"
91,Robin Arryn,http://www.imdb.com/character/ch0300949/,11.15,8,"{'name': 'Lino Facioli', 'imdbUrl': 'http://www.imdb.com/name/nm2996220/'}"
92,Beric Dondarrion,http://www.imdb.com/character/ch0305320/,11.15,6,"{'name': 'David Michael Scott', 'imdbUrl': 'http://www.imdb.com/name/nm2364108/'}"
93,Karl Tanner,http://www.imdb.com/character/ch0396528/,11.15,4,"{'name': 'Burn Gorman', 'imdbUrl': 'http://www.imdb.com/name/nm1218607/'}"
94,Selyse Baratheon,http://www.imdb.com/character/ch0316924/,11.0,11,"{'name': 'Sarah MacKeever', 'imdbUrl': 'http://www.imdb.com/name/nm5223922/'}"
95,Xaro Xhoan Daxos,http://www.imdb.com/character/ch0303950/,10.3,5,"{'name': 'Nonso Anozie', 'imdbUrl': 'http://www.imdb.com/name/nm1996829/'}"
96,Irri,http://www.imdb.com/character/ch0249444/,10.0,13,"{'name': 'Amrita Acharia', 'imdbUrl': 'http://www.imdb.com/name/nm3822505/'}"
97,Lady Crane,http://www.imdb.com/character/ch0541190/,10.0,3,"{'name': 'Essie Davis', 'imdbUrl': 'http://www.imdb.com/name/nm0204583/'}"
